"OBJECTID","GEN","EWZ","Shape__Area","Shape__Length","death_rate","cases","deaths","cases_per_100k","cases_per_population","BL_ID","county","last_update","cases7_per_100k","recovered","EWZ_BL","cases7_bl_per_100k"
311,"Dillingen a.d. Donau",96562,791213465.028809,241997.005658241,3.94581861012956,1698,67,1758.45570721402,1.75845570721402,"9","LK Dillingen a.d.Donau","17.12.2020, 00:00 Uhr",179.159503738531,NA,13124737,210.49564650324
312,"Günzburg",127027,763092354.290771,231983.896909515,1.70637475853187,3106,53,2445.14945641478,2.44514945641478,"9","LK Günzburg","17.12.2020, 00:00 Uhr",225.936218284302,NA,13124737,210.49564650324
313,"Neu-Ulm",175204,515346963.138428,149088.430473598,1.21517486662715,3374,41,1925.75511974612,1.92575511974612,"9","LK Neu-Ulm","17.12.2020, 00:00 Uhr",223.16842081231,NA,13124737,210.49564650324
314,"Lindau (Bodensee)",81981,322954173.885254,143747.698167572,1.71503957783641,1516,26,1849.20896305241,1.84920896305241,"9","LK Lindau","17.12.2020, 00:00 Uhr",230.541222966297,NA,13124737,210.49564650324
315,"Ostallgäu",141182,1392638275.396,408538.703775734,1.98675496688742,2718,54,1925.17459732827,1.92517459732827,"9","LK Ostallgäu","17.12.2020, 00:00 Uhr",208.95014945248,NA,13124737,210.49564650324
316,"Unterallgäu",145341,1229170262.25684,325590.716666314,2.11546936976642,2269,48,1561.15617754109,1.56115617754109,"9","LK Unterallgäu","17.12.2020, 00:00 Uhr",167.193015047371,NA,13124737,210.49564650324
317,"Donau-Ries",133783,1273689647.33911,334501.136829586,1.94260485651214,2265,44,1693.0402218518,1.6930402218518,"9","LK Donau-Ries","17.12.2020, 00:00 Uhr",140.526075809333,NA,13124737,210.49564650324
318,"Oberallgäu",156008,1527504870.70532,341495.674819323,1.03492884864166,2319,24,1486.46223270602,1.48646223270602,"9","LK Oberallgäu","17.12.2020, 00:00 Uhr",185.246910414851,NA,13124737,210.49564650324
319,"Regionalverband Saarbrücken",328714,411439130.605835,161181.724288652,2.79522613065327,6368,178,1937.24636005768,1.93724636005768,"10","LK Stadtverband Saarbrücken","17.12.2020, 00:00 Uhr",231.508241206642,NA,986887,168.610995990422
320,"Merzig-Wadern",103243,556810455.014404,154742.510566207,1.63398692810458,1530,25,1481.94066425811,1.48194066425811,"10","LK Merzig-Wadern","17.12.2020, 00:00 Uhr",101.701810292223,NA,986887,168.610995990422
321,"Neunkirchen",131408,248046383.794434,107771.870767335,0.690754516471839,1882,13,1432.18068915135,1.43218068915135,"10","LK Neunkirchen","17.12.2020, 00:00 Uhr",81.4257883842688,NA,986887,168.610995990422
322,"Saarlouis",194319,458900040.431519,158517.404110461,1.46744114949557,3271,48,1683.31454978669,1.68331454978669,"10","LK Saarlouis","17.12.2020, 00:00 Uhr",191.952408153603,NA,986887,168.610995990422
323,"Saarpfalz-Kreis",142196,418910126.224365,159579.188509181,1.24939932724652,2081,26,1463.47295282568,1.46347295282568,"10","LK Saar-Pfalz-Kreis","17.12.2020, 00:00 Uhr",136.431404540212,NA,986887,168.610995990422
324,"St. Wendel",87007,476218971.722046,146830.174792864,2.51617541337168,1391,35,1598.72194191272,1.59872194191272,"10","LK Sankt Wendel","17.12.2020, 00:00 Uhr",142.517268725505,NA,986887,168.610995990422
326,"Brandenburg an der Havel",72184,229458891.207031,140932.795800226,1.95035460992908,564,11,781.336584284606,0.781336584284606,"12","SK Brandenburg a.d.Havel","17.12.2020, 00:00 Uhr",99.7450958661199,NA,2521893,162.457328681272
327,"Cottbus",99678,165499112.032715,87686.490779114,4.18445772843723,1171,49,1174.78280061799,1.17478280061799,"12","SK Cottbus","17.12.2020, 00:00 Uhr",40.129216075764,NA,2521893,162.457328681272
328,"Frankfurt (Oder)",57751,148120078.86084,66250.0942024892,0.46801872074883,641,3,1109.93749025991,1.10993749025991,"12","SK Frankfurt (Oder)","17.12.2020, 00:00 Uhr",180.083461758238,NA,2521893,162.457328681272
329,"Potsdam",180334,187164668.043945,96318.6646465882,2.87524366471735,2052,59,1137.8885845154,1.1378885845154,"12","SK Potsdam","17.12.2020, 00:00 Uhr",39.9259152461544,NA,2521893,162.457328681272
330,"Barnim",185244,1483328262.53955,339885.949048133,3.76084860173578,2074,78,1119.60441363823,1.11960441363823,"12","LK Barnim","17.12.2020, 00:00 Uhr",102.567424585952,NA,2521893,162.457328681272
331,"Dahme-Spreewald",170791,2280092175.03906,435887.946004235,1.69689877121123,1709,29,1000.63820693128,1.00063820693128,"12","LK Dahme-Spreewald","17.12.2020, 00:00 Uhr",156.331422615946,NA,2521893,162.457328681272
332,"Elbe-Elster",101827,1903202907.17969,304967.349125971,1.18043844856661,1779,21,1747.08083317784,1.74708083317784,"12","LK Elbe-Elster","17.12.2020, 00:00 Uhr",385.948716941479,NA,2521893,162.457328681272
333,"Havelland",162996,1728706471.47583,344691.18781209,1.41592920353982,1695,24,1039.9028197011,1.0399028197011,"12","LK Havelland","17.12.2020, 00:00 Uhr",103.070013988073,NA,2521893,162.457328681272
334,"Märkisch-Oderland",195751,2162400357.65479,314757.587613392,2.80249110320285,2248,63,1148.39770933482,1.14839770933482,"12","LK Märkisch-Oderland","17.12.2020, 00:00 Uhr",187.993931065486,NA,2521893,162.457328681272
335,"Oberhavel",212914,1810086803.45215,360258.526671368,0.791208791208791,2275,18,1068.50653315423,1.06850653315423,"12","LK Oberhavel","17.12.2020, 00:00 Uhr",177.536470124088,NA,2521893,162.457328681272
336,"Oberspreewald-Lausitz",109371,1225529485.39258,253106.766657486,2.6744671959883,2393,64,2187.96573131817,2.18796573131817,"12","LK Oberspreewald-Lausitz","17.12.2020, 00:00 Uhr",546.762853041483,NA,2521893,162.457328681272
337,"Oder-Spree",178803,2262502493.89453,375585.567913974,1.89337319382162,2007,38,1122.46438818141,1.12246438818141,"12","LK Oder-Spree","17.12.2020, 00:00 Uhr",150.444903049725,NA,2521893,162.457328681272
338,"Ostprignitz-Ruppin",98861,2527647718.00757,383215.261790736,0.240096038415366,833,2,842.597181901862,0.842597181901862,"12","LK Ostprignitz-Ruppin","17.12.2020, 00:00 Uhr",130.48623825371,NA,2521893,162.457328681272
339,"Potsdam-Mittelmark",216566,2595059133.91309,471676.67314393,2.33625365039633,2397,56,1106.82193880849,1.10682193880849,"12","LK Potsdam-Mittelmark","17.12.2020, 00:00 Uhr",139.44940572389,NA,2521893,162.457328681272
340,"Prignitz",76158,2139182170.65576,314981.945301139,1.03270223752151,581,6,762.887680873973,0.762887680873973,"12","LK Prignitz","17.12.2020, 00:00 Uhr",175.94999868694,NA,2521893,162.457328681272
341,"Spree-Neiße",113720,1661445549.06738,349490.852258286,2.23413762287757,2238,50,1967.99155821316,1.96799155821316,"12","LK Spree-Neiße","17.12.2020, 00:00 Uhr",373.724938445304,NA,2521893,162.457328681272
342,"Teltow-Fläming",169997,2106724690.13452,319588.778488519,0.807847663012118,1733,14,1019.42975464273,1.01942975464273,"12","LK Teltow-Fläming","17.12.2020, 00:00 Uhr",62.9422872168332,NA,2521893,162.457328681272
343,"Uckermark",118947,3081478365.84326,392752.807648689,2.42424242424242,825,20,693.58621907236,0.69358621907236,"12","LK Uckermark","17.12.2020, 00:00 Uhr",68.0975560543772,NA,2521893,162.457328681272
344,"Rostock",209191,169182687.774658,134795.715511889,1.07095046854083,747,8,357.089932167254,0.357089932167254,"13","SK Rostock","17.12.2020, 00:00 Uhr",18.6432494705795,NA,1608138,96.5091304353233
345,"Schwerin",95653,130021333.25293,69507.4759527597,1.11111111111111,630,7,658.630675462348,0.658630675462348,"13","SK Schwerin","17.12.2020, 00:00 Uhr",148.45326335818,NA,1608138,96.5091304353233
346,"Mecklenburgische Seenplatte",258074,5500547133.15259,514258.77380906,0.951248513674197,1682,16,651.751048148981,0.651751048148981,"13","LK Mecklenburgische Seenplatte","17.12.2020, 00:00 Uhr",156.156761239024,NA,1608138,96.5091304353233
347,"Rostock",215794,3430259304.63257,470182.25536835,1.32978723404255,752,10,348.480495287172,0.348480495287172,"13","LK Rostock","17.12.2020, 00:00 Uhr",64.4132830384533,NA,1608138,96.5091304353233
348,"Vorpommern-Rügen",224702,3165945515.72314,1130008.57801726,1.15667718191377,951,11,423.227207590498,0.423227207590498,"13","LK Vorpommern-Rügen","17.12.2020, 00:00 Uhr",48.508691511424,NA,1608138,96.5091304353233
349,"Nordwestmecklenburg",157322,2124163939.49634,423468.448156752,1.37254901960784,1020,14,648.351788052529,0.648351788052529,"13","LK Nordwestmecklenburg","17.12.2020, 00:00 Uhr",119.500133484192,NA,1608138,96.5091304353233
350,"Vorpommern-Greifswald",235623,3800115512.31689,829464.607187338,1.59253157605711,1821,29,772.844756241963,0.772844756241963,"13","LK Vorpommern-Greifswald","17.12.2020, 00:00 Uhr",116.287459203898,NA,1608138,96.5091304353233
351,"Ludwigslust-Parchim",211779,4767048684.75415,544893.273395305,1.04790419161677,1336,14,630.846306763182,0.630846306763182,"13","LK Ludwigslust-Parchim","17.12.2020, 00:00 Uhr",121.825110138399,NA,1608138,96.5091304353233
352,"Chemnitz",246334,221390784.142822,95321.6150519375,2.42540904716073,5195,126,2108.92528031047,2.10892528031047,"14","SK Chemnitz","17.12.2020, 00:00 Uhr",331.257560872636,NA,4071971,415.425355435979
353,"Erzgebirgskreis",334948,1829052282.17773,316453.7101636,2.0108522183211,12532,252,3741.47628885678,3.74147628885678,"14","LK Erzgebirgskreis","17.12.2020, 00:00 Uhr",499.480516378662,NA,4071971,415.425355435979
354,"Mittelsachsen",304099,2117093473.82227,369709.913667953,0.847110260964613,7319,62,2406.78200191385,2.40678200191385,"14","LK Mittelsachsen","17.12.2020, 00:00 Uhr",514.306196337377,NA,4071971,415.425355435979
355,"Vogtlandkreis",225997,1413030344.30347,311516.555614729,3.31917153478492,3766,125,1666.39380168763,1.66639380168763,"14","LK Vogtlandkreis","17.12.2020, 00:00 Uhr",176.108532414147,NA,4071971,415.425355435979
356,"Zwickau",315002,950371257.519287,236378.261893365,2.06058108386565,9706,200,3081.25027777601,3.08125027777601,"14","LK Zwickau","17.12.2020, 00:00 Uhr",571.742401635545,NA,4071971,415.425355435979
357,"Dresden",556780,328597830.120605,125713.405876724,1.51092724165842,11119,168,1997.01857106936,1.99701857106936,"14","SK Dresden","17.12.2020, 00:00 Uhr",335.320952620425,NA,4071971,415.425355435979
358,"Bautzen",299758,2401626909.46289,346293.027396107,1.56101275461641,10506,164,3504.82722729669,3.50482722729669,"14","LK Bautzen","17.12.2020, 00:00 Uhr",639.515876140086,NA,4071971,415.425355435979
359,"Görlitz",252725,2117875652.25439,343038.40508571,3.20048309178744,8280,265,3276.28845583144,3.27628845583144,"14","LK Görlitz","17.12.2020, 00:00 Uhr",621.624295182511,NA,4071971,415.425355435979
360,"Meißen",241717,1460028405.96924,262069.148494336,3.43094784266158,5771,198,2387.50274080847,2.38750274080847,"14","LK Meißen","17.12.2020, 00:00 Uhr",522.511863046455,NA,4071971,415.425355435979
361,"Sächsische Schweiz-Osterzgebirge",245586,1657191267.13281,288326.60943747,2.89435600578871,7601,220,3095.04613455164,3.09504613455164,"14","LK Sächsische Schweiz-Osterzgebirge","17.12.2020, 00:00 Uhr",609.969623675617,NA,4071971,415.425355435979
362,"Leipzig",593145,299199530.356689,121009.563030988,1.02598047327486,6043,62,1018.80653128662,1.01880653128662,"14","SK Leipzig","17.12.2020, 00:00 Uhr",170.11017542085,NA,4071971,415.425355435979
363,"Leipzig",258139,1652752071.3916,340151.944638041,0.923970432946146,3788,35,1467.42646403682,1.46742646403682,"14","LK Leipzig","17.12.2020, 00:00 Uhr",297.514129984233,NA,4071971,415.425355435979
364,"Nordsachsen",197741,2029363881.25757,410149.206029041,1.15288220551378,3990,46,2017.79094876632,2.01779094876632,"14","LK Nordsachsen","17.12.2020, 00:00 Uhr",389.903965287927,NA,4071971,415.425355435979
365,"Dessau-Roßlau",80103,246411621.926025,115905.532576958,1.63204747774481,674,11,841.416676029612,0.841416676029612,"15","SK Dessau-Roßlau","17.12.2020, 00:00 Uhr",157.29747949515,NA,2194782,147.713987083911
366,"Halle (Saale)",238762,135764556.49585,77778.5371227487,1.31578947368421,2128,28,891.26410400315,0.89126410400315,"15","SK Halle","17.12.2020, 00:00 Uhr",87.5348673574522,NA,2194782,147.713987083911
367,"Magdeburg",237565,200525598.567627,84732.7396485704,1.19961612284069,2084,25,877.233599225475,0.877233599225475,"15","SK Magdeburg","17.12.2020, 00:00 Uhr",95.1318586492118,NA,2194782,147.713987083911
368,"Altmarkkreis Salzwedel",83173,2303232974.10107,304018.13322438,3.0060120240481,499,15,599.954312096474,0.599954312096474,"15","LK Altmarkkreis Salzwedel","17.12.2020, 00:00 Uhr",102.196626309019,NA,2194782,147.713987083911
369,"Anhalt-Bitterfeld",158486,1461202916.53247,339393.484904978,0.859598853868195,1047,9,660.626175182666,0.660626175182666,"15","LK Anhalt-Bitterfeld","17.12.2020, 00:00 Uhr",137.551581843191,NA,2194782,147.713987083911
370,"Börde",170923,2376778417.90283,372336.179495209,2.17086834733894,1428,31,835.463922351,0.835463922351,"15","LK Börde","17.12.2020, 00:00 Uhr",151.530221210721,NA,2194782,147.713987083911
371,"Burgenlandkreis",178846,1419199714.23511,295494.058151494,1.43939393939394,2640,38,1476.13030204757,1.47613030204757,"15","LK Burgenlandkreis","17.12.2020, 00:00 Uhr",212.473301052302,NA,2194782,147.713987083911
372,"Harz",213310,2107253323.8606,325949.493783216,1.20828538550058,1738,21,814.776616192396,0.814776616192396,"15","LK Harz","17.12.2020, 00:00 Uhr",136.889972340725,NA,2194782,147.713987083911
373,"Jerichower Land",89589,1589862709.08545,247513.327800673,2.94759825327511,916,27,1022.44695219279,1.02244695219279,"15","LK Jerichower Land","17.12.2020, 00:00 Uhr",88.1804685843128,NA,2194782,147.713987083911
374,"Mansfeld-Südharz",134942,1456051186.22388,331192.469067827,0.623885918003565,1122,7,831.46833454373,0.83146833454373,"15","LK Mansfeld-Südharz","17.12.2020, 00:00 Uhr",168.220420625157,NA,2194782,147.713987083911
375,"Saalekreis",183815,1440548636.87378,371825.276683838,1.90427174472465,1943,37,1057.04104670457,1.05704104670457,"15","LK Saalekreis","17.12.2020, 00:00 Uhr",221.962299050676,NA,2194782,147.713987083911
376,"Salzlandkreis",189125,1435223669.55542,263641.4359459,1.29032258064516,1705,22,901.520158625248,0.901520158625248,"15","LK Salzlandkreis","17.12.2020, 00:00 Uhr",134.831460674157,NA,2194782,147.713987083911
377,"Stendal",111190,2437289281.5437,388578.333837657,3.04093567251462,855,26,768.954042629733,0.768954042629733,"15","LK Stendal","17.12.2020, 00:00 Uhr",145.696555445634,NA,2194782,147.713987083911
378,"Wittenberg",124953,1944607760.69946,288398.187583744,1.52505446623094,1377,21,1102.01435739838,1.10201435739838,"15","LK Wittenberg","17.12.2020, 00:00 Uhr",252.895088553296,NA,2194782,147.713987083911
379,"Erfurt",213981,270257421.294678,106241.732102172,2.19114219114219,2145,47,1002.42544898846,1.00242544898846,"16","SK Erfurt","17.12.2020, 00:00 Uhr",141.134025918189,NA,2133378,274.02551259083
380,"Gera",93125,152353849.622803,75036.9493444954,3.76597175521184,1487,56,1596.77852348993,1.59677852348993,"16","SK Gera","17.12.2020, 00:00 Uhr",397.315436241611,NA,2133378,274.02551259083
381,"Jena",111343,114856718.441162,68829.1440208002,1.29975629569456,1231,16,1105.59262818498,1.10559262818498,"16","SK Jena","17.12.2020, 00:00 Uhr",205.670765113209,NA,2133378,274.02551259083
382,"Suhl",36789,102425357.769043,81790.0791534622,2.26757369614512,441,10,1198.72788061649,1.19872788061649,"16","SK Suhl","17.12.2020, 00:00 Uhr",334.339068743374,NA,2133378,274.02551259083
383,"Weimar",65228,84427076.9130859,63948.3104956555,0.475435816164818,631,3,967.375973508309,0.967375973508309,"16","SK Weimar","17.12.2020, 00:00 Uhr",165.573066781137,NA,2133378,274.02551259083
384,"Eisenach",42250,104429358.891602,68679.6227637501,1.90839694656489,262,5,620.118343195266,0.620118343195266,"16","SK Eisenach","17.12.2020, 00:00 Uhr",168.047337278107,NA,2133378,274.02551259083
385,"Eichsfeld",100006,941990551.349854,207729.393165993,2.27272727272727,1408,32,1407.9155250685,1.4079155250685,"16","LK Eichsfeld","17.12.2020, 00:00 Uhr",270.983740975541,NA,2133378,274.02551259083
386,"Nordhausen",83416,713906012.683594,184828.444788439,1.68067226890756,595,10,713.292413925386,0.713292413925386,"16","LK Nordhausen","17.12.2020, 00:00 Uhr",95.9048623765225,NA,2133378,274.02551259083
387,"Wartburgkreis",118974,1305420222.49292,423293.351808742,0.451807228915663,1328,6,1116.21026442752,1.11621026442752,"16","LK Wartburgkreis","17.12.2020, 00:00 Uhr",389.160656950258,NA,2133378,274.02551259083
388,"Unstrut-Hainich-Kreis",102232,978649370.606689,216020.064525007,1.65876777251185,1688,28,1651.14641208232,1.65114641208232,"16","LK Unstrut-Hainich-Kreis","17.12.2020, 00:00 Uhr",442.13162219266,NA,2133378,274.02551259083
389,"Kyffhäuserkreis",74212,1037644199.99707,271293.835300143,2.23004694835681,852,19,1148.06230798254,1.14806230798254,"16","LK Kyffhäuserkreis","17.12.2020, 00:00 Uhr",238.505902010457,NA,2133378,274.02551259083
390,"Schmalkalden-Meiningen",124916,1210176377.52979,284618.137139513,2.27021040974529,1806,41,1445.7715584873,1.4457715584873,"16","LK Schmalkalden-Meiningen","17.12.2020, 00:00 Uhr",256.172147683243,NA,2133378,274.02551259083
391,"Gotha",134908,935633668.989258,199895.58962156,3.3976833976834,1295,44,959.913422480505,0.959913422480505,"16","LK Gotha","17.12.2020, 00:00 Uhr",171.969045571797,NA,2133378,274.02551259083
392,"Sömmerda",69427,806725753.319092,230093.537107915,2.24586288416076,846,19,1218.54609878001,1.21854609878001,"16","LK Sömmerda","17.12.2020, 00:00 Uhr",168.522332810002,NA,2133378,274.02551259083
393,"Hildburghausen",63197,937297569.990723,265821.005536133,1.55469183786785,1801,28,2849.81882051363,2.84981882051363,"16","LK Hildburghausen","17.12.2020, 00:00 Uhr",447.806066743675,NA,2133378,274.02551259083
394,"Ilm-Kreis",106249,843200236.253906,222575.656773903,1.29589632829374,1389,18,1307.3064217075,1.3073064217075,"16","LK Ilm-Kreis","17.12.2020, 00:00 Uhr",298.355749230581,NA,2133378,274.02551259083
395,"Weimarer Land",82156,804283848.245361,269741.633545508,1.0989010989011,728,8,886.119090510736,0.886119090510736,"16","LK Weimarer Land","17.12.2020, 00:00 Uhr",119.285262184137,NA,2133378,274.02551259083
396,"Sonneberg",57717,432927012.661377,161041.945432261,3.39462517680339,1414,48,2449.88478264636,2.44988478264636,"16","LK Sonneberg","17.12.2020, 00:00 Uhr",372.507233570698,NA,2133378,274.02551259083
397,"Saalfeld-Rudolstadt",103199,1036276858.88403,288875.161468262,2.10111621799081,1523,32,1475.78949408425,1.47578949408424,"16","LK Saalfeld-Rudolstadt","17.12.2020, 00:00 Uhr",377.910638668979,NA,2133378,274.02551259083
398,"Saale-Holzland-Kreis",82950,815610432.112061,234993.455153363,1.84426229508197,976,18,1176.61241711875,1.17661241711875,"16","LK Saale-Holzland-Kreis","17.12.2020, 00:00 Uhr",220.614828209765,NA,2133378,274.02551259083
399,"Saale-Orla-Kreis",80312,1151821448.87769,254911.187843261,1.3768115942029,1380,19,1718.29863532224,1.71829863532224,"16","LK Saale-Orla-Kreis","17.12.2020, 00:00 Uhr",389.730052794103,NA,2133378,274.02551259083
400,"Greiz",97398,846542585.236572,287996.240426493,3.2258064516129,1829,59,1877.86196841824,1.87786196841824,"16","LK Greiz","17.12.2020, 00:00 Uhr",278.239799585207,NA,2133378,274.02551259083
401,"Altenburger Land",89393,569793164.429688,159246.545807564,1.53374233128834,1956,30,2188.09079010661,2.18809079010661,"16","LK Altenburger Land","17.12.2020, 00:00 Uhr",515.700334478091,NA,2133378,274.02551259083
404,"Berlin Reinickendorf",259689,89436651.1298828,52066.3787897586,1.44253140995812,6447,93,2482.58493813754,2.48258493813754,"11","SK Berlin Reinickendorf","17.12.2020, 00:00 Uhr",237.976964753994,NA,3669491,178.090094784263
405,"Berlin Charlottenburg-Wilmersdorf",334401,64774504.5493164,43768.285631833,1.16546762589928,6950,81,2078.3430671559,2.0783430671559,"11","SK Berlin Charlottenburg-Wilmersdorf","17.12.2020, 00:00 Uhr",147.427788792498,NA,3669491,178.090094784263
406,"Berlin Treptow-Köpenick",266488,168005186.256348,91502.1200065657,0.924947145877378,3784,35,1419.95136741617,1.41995136741617,"11","SK Berlin Treptow-Köpenick","17.12.2020, 00:00 Uhr",161.358109933656,NA,3669491,178.090094784263
407,"Berlin Pankow",398036,103362961.02002,66428.5750865875,1.10565110565111,6512,72,1636.03292164528,1.63603292164528,"11","SK Berlin Pankow","17.12.2020, 00:00 Uhr",134.158719311821,NA,3669491,178.090094784263
408,"Berlin Neukölln",321123,44996873.6523438,40651.1686972196,1.25914267197482,10801,136,3363.5086867026,3.3635086867026,"11","SK Berlin Neukölln","17.12.2020, 00:00 Uhr",210.82264428272,NA,3669491,178.090094784263
409,"Berlin Lichtenberg",286522,52197995.7641602,46276.6771709678,1.41414141414141,4455,63,1554.85442653618,1.55485442653618,"11","SK Berlin Lichtenberg","17.12.2020, 00:00 Uhr",153.565869287524,NA,3669491,178.090094784263
410,"Berlin Marzahn-Hellersdorf",262967,61914765.7182617,41111.1766110066,0.82687338501292,3870,32,1471.66754763906,1.47166754763906,"11","SK Berlin Marzahn-Hellersdorf","17.12.2020, 00:00 Uhr",153.251168397556,NA,3669491,178.090094784263
411,"Berlin Spandau",239019,92940423.4116211,60759.065594004,1.12680793810965,5946,67,2487.66834435756,2.48766834435756,"11","SK Berlin Spandau","17.12.2020, 00:00 Uhr",217.555926516302,NA,3669491,178.090094784263
412,"Berlin Steglitz-Zehlendorf",302177,102687173.001465,62943.9339297434,0.881895210098565,5783,51,1913.77901031515,1.91377901031515,"11","SK Berlin Steglitz-Zehlendorf","17.12.2020, 00:00 Uhr",172.746436691078,NA,3669491,178.090094784263
413,"Berlin Mitte",375238,39452105.0620117,35771.879143497,0.800765950039168,11489,92,3061.79011720561,3.06179011720561,"11","SK Berlin Mitte","17.12.2020, 00:00 Uhr",247.043209909444,NA,3669491,178.090094784263
414,"Berlin Friedrichshain-Kreuzberg",282059,20428655.7543945,32780.5909146972,0.694980694980695,7770,54,2754.74280203787,2.75474280203787,"11","SK Berlin Friedrichshain-Kreuzberg","17.12.2020, 00:00 Uhr",160.959231933744,NA,3669491,178.090094784263
415,"Berlin Tempelhof-Schöneberg",341772,53122950.2021484,46308.5674125585,1.8115084063462,8446,153,2471.2381353651,2.4712381353651,"11","SK Berlin Tempelhof-Schöneberg","17.12.2020, 00:00 Uhr",151.270437601676,NA,3669491,178.090094784263
